HorseID,Rtg,Sire,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
P310,74,Not A Single Doubt,4,2015-11-14,1000,0.57.14,1114
V002,65,Not A Single Doubt,2,2015-11-14,1000,0.56.88,1112
T345,49,Commands,11,2016-11-12,1200,1.10.34,1074
V020,76,Showcasing,4,2017-11-08,1650,1.41.29,1115
T429,26,Not A Single Doubt,6,2016-11-12,1650,1.40.92,1167
S419,73,Commands,3,2015-11-14,1200,1.10.01,1081
T289,65,Showcasing,13,2015-11-14,1200,1.10.95,1081
P310,71,Not A Single Doubt,4,2017-11-08,1200,1.10.51,1132
T341,71,Commands,1,2017-11-08,1200,1.10.39,1084
S397,56,Not A Single Doubt,10,2015-11-18,1200,1.10.15,1139
V341,68,More Than Ready,9,2016-11-12,1000,0.58.07,1136
T345,56,Commands,5,2015-11-18,1200,1.09.24,1065
B067,52,Makfi,14,2017-11-11,1400,1.24.20,986
A386,52,Not A Single Doubt,14,2017-11-11,1200,1.11.72,1043
A002,73,Duke Of Marmalade,2,2016-11-12,1600,1.35.07,1101
A337,73,More Than Ready,6,2017-11-11,1200,1.09.99,1150
V375,50,Makfi,12,2016-11-16,1200,1.12.15,1139
P310,56,Not A Single Doubt,1,2014-11-26,1000,0.57.29,1080
T282,42,Snitzel,4,2016-11-16,1650,1.41.22,1042
V150,71,Snitzel,12,2017-11-11,1400,1.22.67,1157
T098,82,Duke Of Marmalade,8,2016-11-16,1800,1.49.76,1196
A128,57,Swiss Ace,1,2017-11-15,1200,1.10.25,991
S078,53,Commands,7,2017-11-15,1650,1.41.90,1061
V324,52,Commands,9,2016-11-20,1400,1.22.91,1193
V334,42,Flying Spur,12,2016-11-20,1400,1.23.30,1168
T436,41,Showcasing,2,2017-11-15,1200,1.10.80,1099
T281,58,More Than Ready,1,2016-11-20,1800,1.47.29,1137
T375,80,Not A Single Doubt,2,2015-11-21,1400,1.21.81,1005
A154,78,Makfi,9,2017-11-15,1650,1.42.17,1020
T211,90,Sebring,1,2015-11-21,1200,1.08.73,1082
M273,61,Flying Spur,10,2013-11-27,1200,1.11.35,1191
M273,48,Flying Spur,9,2014-11-30,1000,0.57.24,1233
S397,52,Not A Single Doubt,5,2014-11-30,1000,0.56.79,1148
V375,37,Makfi,8,2017-11-19,1650,1.40.33,1136
V011,52,Not A Single Doubt,7,2015-11-25,1200,1.11.54,1072
M273,71,Flying Spur,10,2012-11-28,1000,0.58.55,1236
V324,53,Commands,13,2017-11-19,1400,1.23.76,1214
T211,128,Sebring,2,2016-11-20,1200,1.08.36,1086
V381,72,Sebring,10,2017-11-19,2000,2.03.14,1132
S078,58,Commands,9,2015-11-25,1650,1.43.37,1023
A002,91,Duke Of Marmalade,9,2017-11-19,1800,1.48.65,1072
T289,34,Showcasing,10,2016-11-23,1000,0.58.69,1099
A252,102,Not A Single Doubt,10,2017-11-19,1200,0.00.00,1100
T211,127,Sebring,9,2017-11-19,1200,1.10.10,1085
T375,92,Not A Single Doubt,5,2017-11-19,1600,1.34.44,992
M273,58,Flying Spur,1,2011-11-30,1200,1.10.88,1241
A067,75,Makfi,11,2017-11-19,1400,1.22.96,1148
V150,69,Snitzel,9,2017-11-19,1400,1.22.79,1150
M273,50,Flying Spur,3,2015-11-29,1000,0.57.47,1234
A338,82,Snitzel,12,2017-11-19,1200,1.10.42,1116
A418,81,More Than Ready,11,2017-11-19,1200,1.10.39,1094
V151,89,Commands,8,2017-11-19,1200,1.10.09,1141
S078,47,Commands,2,2016-11-23,1650,1.41.65,1051
V105,55,Showcasing,1,2016-11-23,1650,1.41.63,1043
T405,49,Commands,3,2015-11-29,1200,1.10.06,1089
M273,28,Flying Spur,6,2017-11-22,1200,1.11.13,1247
T289,48,Showcasing,2,2017-11-22,1200,1.10.74,1098
T405,54,Commands,5,2017-11-22,1200,1.10.81,1122
V347,60,Showcasing,11,2016-11-27,1400,1.23.90,1138
V341,54,More Than Ready,6,2017-11-22,1650,1.41.88,1136
S397,69,Not A Single Doubt,9,2017-11-22,1200,1.11.68,1174
M273,42,Flying Spur,13,2016-11-27,1000,0.58.42,1250
V306,55,Snitzel,6,2016-11-27,1000,0.57.75,1163
A171,66,Snitzel,4,2017-11-22,1200,1.10.48,1073
V342,74,Swiss Ace,10,2016-11-27,1200,0.00.00,1100
V020,76,Showcasing,5,2017-11-22,1650,1.40.91,1117
B041,52,Showcasing,5,2017-11-26,1000,0.58.09,1026
V163,46,Sebring,11,2016-11-27,1600,1.36.30,1088
V258,48,Not A Single Doubt,14,2016-11-27,1600,1.37.36,1134
M273,61,Flying Spur,6,2013-12-04,1000,0.58.03,1188
A002,76,Duke Of Marmalade,2,2016-11-27,1600,1.34.39,1096
M273,70,Flying Spur,5,2012-12-09,1200,1.09.96,1234
T375,94,Not A Single Doubt,6,2016-11-27,1400,1.22.45,1006
V150,81,Snitzel,2,2016-11-27,1400,1.22.32,1132
T289,32,Showcasing,1,2016-11-30,1200,1.10.65,1095
V342,93,Swiss Ace,10,2017-11-26,1400,0.00.00,1100
P310,63,Not A Single Doubt,8,2014-12-10,1000,0.57.27,1086
T341,52,Commands,1,2015-12-06,1200,1.10.69,1092
T345,56,Commands,2,2015-12-06,1200,1.10.85,1061
M273,48,Flying Spur,4,2014-12-10,1000,0.57.57,1222
T345,55,Commands,2,2017-11-29,1200,1.10.21,1079
T341,69,Commands,5,2016-11-30,1200,1.10.51,1084
T405,62,Commands,2,2016-11-30,1200,1.10.28,1109
T429,24,Not A Single Doubt,3,2016-12-04,1200,1.09.31,1169
P310,74,Not A Single Doubt,3,2015-12-06,1000,0.57.06,1113
A313,52,More Than Ready,6,2017-11-29,1200,1.11.08,1085
T289,50,Showcasing,4,2017-11-29,1200,1.10.74,1099
P310,72,Not A Single Doubt,11,2017-11-29,1200,1.11.29,1135
S419,73,Commands,1,2015-12-06,1400,1.22.24,1098
V381,69,Sebring,12,2017-11-29,1800,1.51.64,1144
B083,52,Swiss Ace,1,2017-12-03,1200,1.08.38,992
V011,52,Not A Single Doubt,4,2015-12-09,1200,1.11.68,1076
A207,58,Not A Single Doubt,9,2017-12-03,1400,1.23.82,1057
A290,59,Makfi,2,2017-12-03,1400,1.22.64,1157
A386,52,Not A Single Doubt,14,2017-12-03,1400,1.25.66,1062
T098,80,Duke Of Marmalade,5,2016-12-04,1650,1.38.84,1201
V020,68,Showcasing,4,2016-12-04,1400,1.22.08,1100
V341,68,More Than Ready,13,2016-12-04,1400,1.23.43,1125
T281,77,More Than Ready,7,2017-12-03,1650,1.39.70,1135
P310,85,Not A Single Doubt,11,2016-12-04,1200,1.10.14,1135
A294,69,Commands,7,2017-12-03,1000,0.57.17,1197
T280,18,Flying Spur,7,2016-12-07,1650,1.42.07,1024
S419,84,Commands,5,2016-12-07,1000,0.57.42,1090
A067,73,Makfi,10,2017-12-03,1400,1.22.80,1147
S419,70,Commands,10,2017-12-03,1400,0.00.00,1100
V002,63,Not A Single Doubt,1,2017-12-03,1400,1.22.17,1112
M273,40,Flying Spur,7,2016-12-07,1000,0.58.36,1243
T405,53,Commands,8,2017-12-06,1200,1.10.80,1110
T436,43,Showcasing,5,2017-12-06,1200,1.10.76,1097
V011,48,Not A Single Doubt,10,2017-12-06,1200,1.10.99,1117
V348,48,Swiss Ace,2,2017-12-06,1200,1.10.71,1022
T341,76,Commands,3,2017-12-06,1200,1.10.26,1086
T282,42,Snitzel,1,2016-12-07,1650,1.40.58,1036
T282,53,Snitzel,12,2017-12-06,1650,1.41.82,1070
S078,76,Commands,9,2013-12-15,1400,1.25.10,1048
V385,50,Commands,4,2017-12-06,1000,0.57.77,1046
T098,82,Duke Of Marmalade,4,2015-12-13,1600,1.35.49,1221
T375,81,Not A Single Doubt,7,2015-12-13,1600,1.35.77,1014
A338,80,Snitzel,7,2017-12-06,1000,0.57.46,1109
A024,80,Sebring,7,2016-12-11,1200,1.09.77,1080
A042,70,Swiss Ace,9,2016-12-11,1200,1.09.81,1106
T281,65,More Than Ready,5,2016-12-11,1800,1.48.68,1133
V150,67,Snitzel,9,2017-12-06,1650,1.41.02,1162
T211,100,Sebring,3,2015-12-13,1400,1.22.37,1090
V381,65,Sebring,7,2017-12-10,1800,1.48.35,1131
T211,128,Sebring,2,2016-12-11,1200,1.08.82,1078
A252,102,Not A Single Doubt,1,2017-12-10,1400,1.21.25,1163
S078,64,Commands,9,2014-12-20,1600,1.35.75,1046
A093,112,More Than Ready,8,2017-12-10,2400,2.27.64,1068
M273,68,Flying Spur,10,2012-12-19,1200,0.00.00,1100
T211,127,Sebring,4,2017-12-10,1200,1.08.79,1087
V381,87,Sebring,10,2016-12-11,1200,1.10.14,1125
S397,54,Not A Single Doubt,1,2015-12-16,1200,1.10.72,1137
A418,81,More Than Ready,6,2017-12-10,1200,1.09.70,1096
V151,87,Commands,8,2017-12-10,1200,1.09.81,1151
A093,93,More Than Ready,1,2016-12-11,1600,1.35.96,1096
T375,94,Not A Single Doubt,9,2016-12-11,1600,1.36.37,1004
S078,56,Commands,1,2015-12-16,1650,1.42.06,1030
T375,102,Not A Single Doubt,8,2017-12-10,1600,1.34.43,990
T098,76,Duke Of Marmalade,3,2014-12-20,1400,1.22.48,1188
T289,38,Showcasing,1,2016-12-14,1200,1.10.46,1095
M273,65,Flying Spur,10,2011-12-21,1200,1.11.73,1230
T280,39,Flying Spur,9,2015-12-19,1400,1.24.47,992
A002,89,Duke Of Marmalade,4,2017-12-10,1600,1.35.68,1075
A024,89,Sebring,5,2017-12-10,1600,1.35.95,1098
M273,50,Flying Spur,9,2015-12-19,1000,0.58.09,1236
T429,52,Not A Single Doubt,11,2015-12-19,1000,0.58.69,1138
M273,48,Flying Spur,5,2014-12-28,1000,0.57.32,1239
S397,52,Not A Single Doubt,1,2014-12-28,1000,0.56.89,1145
T280,26,Flying Spur,4,2017-12-13,1650,1.41.64,1077
S078,49,Commands,3,2016-12-14,1650,1.41.18,1047
V375,48,Makfi,12,2016-12-14,1650,1.42.56,1143
T281,52,More Than Ready,10,2015-12-19,1600,1.36.34,1125
V250,54,Duke Of Marmalade,9,2017-12-13,1650,1.41.09,1230
T280,16,Flying Spur,14,2016-12-17,1650,1.42.70,1022
T289,62,Showcasing,4,2015-12-19,1400,1.22.51,1080
A154,78,Makfi,2,2017-12-13,1650,1.39.99,1025
T098,68,Duke Of Marmalade,7,2017-12-13,1650,1.40.30,1232
V020,75,Showcasing,9,2017-12-13,1650,1.40.42,1119
S397,68,Not A Single Doubt,3,2017-12-13,1200,1.10.09,1164
V324,50,Commands,6,2016-12-17,1200,1.10.22,1186
V347,60,Showcasing,4,2016-12-17,1200,1.09.87,1124
B040,52,Sebring,1,2017-12-17,1000,0.57.62,1147
V375,35,Makfi,7,2017-12-17,1800,1.49.04,1122
P310,84,Not A Single Doubt,9,2016-12-17,1000,0.57.14,1130
S419,83,Commands,4,2016-12-17,1000,0.56.78,1090
B083,57,Swiss Ace,1,2017-12-17,1200,1.09.09,1012
A067,74,Makfi,10,2016-12-17,1400,1.22.49,1162
B107,70,More Than Ready,11,2017-12-17,1200,1.10.63,1092
V347,65,Showcasing,6,2017-12-17,1200,1.10.17,1108
A313,52,More Than Ready,8,2017-12-17,1400,1.23.54,1068
S397,60,Not A Single Doubt,4,2015-12-23,1200,1.10.69,1130
T405,49,Commands,2,2015-12-23,1200,1.10.35,1101
A189,57,Not A Single Doubt,5,2017-12-17,1600,1.35.55,1057
B067,52,Makfi,10,2017-12-17,1600,1.36.08,1010
M273,26,Flying Spur,2,2017-12-20,1000,0.57.46,1252
V105,60,Showcasing,1,2016-12-22,1650,1.40.43,1047
A002,77,Duke Of Marmalade,2,2016-12-22,2200,2.17.00,1088
T405,62,Commands,7,2016-12-22,1200,1.10.06,1101
V250,80,Duke Of Marmalade,12,2016-12-22,1200,1.11.01,1154
T345,58,Commands,3,2015-12-27,1200,1.10.08,1058
T436,43,Showcasing,5,2017-12-20,1200,1.10.37,1097
V341,53,More Than Ready,10,2017-12-20,1200,1.11.29,1143
T429,24,Not A Single Doubt,3,2016-12-27,1200,1.11.36,1162
T436,30,Showcasing,9,2016-12-27,1600,1.36.75,1085
V334,40,Flying Spur,11,2016-12-27,1600,1.36.95,1168
